"performer","beat_1","beat_2","beat_3","beat_4","intensity_1","intensity_2","intensity_3","intensity_4"
"CH",0.240786357373102,0.228501193411979,0.265509633674811,0.265202815540108,-0.0366666666666668,0.0266666666666667,-0.121111111111111,0.108888888888889
"CH",0.201219512195122,0.231707317073171,0.260162728658537,0.306910442073171,-0.0700000000000001,0.0722222222222222,-0.0599999999999999,0.0322222222222221
"CH",0.344488108327769,0.196527337171178,0.242448971757994,0.216535582743059,-0.0277777777777778,0.0244444444444445,-0.0477777777777777,-0.0766666666666667
"CH",0.249177088922562,0.271152692029443,0.25232808937243,0.227342129675565,0.0733333333333334,0.0144444444444444,-0.0588888888888889,-0.0355555555555556
"CH",0.240246254071661,0.245530076004343,0.259428013029316,0.25479565689468,-0.00222222222222225,0.03,-0.0422222222222222,-0.0166666666666667
"CH",0.236956418064731,0.234782640595467,0.236956418064731,0.291304523275071,-0.0411111111111111,-0.0233333333333333,0.0811111111111112,-0.0355555555555556
"CH",0.227064252732834,0.256880627419815,0.252293757496238,0.263761362351113,0.0255555555555555,0,0.0555555555555556,-0.05
"CH",0.244343925953609,0.239818897033215,0.242081623597515,0.273755553415661,0.0555555555555556,0.0433333333333334,0,-0.0655555555555556
"CH",0.266978961794344,0.23419192537938,0.215456852379516,0.283372260446759,0.0388888888888889,0.0755555555555555,0,-0.0566666666666666
"CH",0.258145206766917,0.298245770676692,0.22305780075188,0.220551221804511,0.0477777777777777,-0.0133333333333334,0.0477777777777779,-0.0122222222222223
"CH",0.355128110448071,0.206619991533423,0.182944649651995,0.255307248366512,-0.0155555555555555,0.0188888888888888,-0.0311111111111111,0.0433333333333334
"CH",0.259030332181317,0.245286616453175,0.255506732446916,0.240176318918593,-0.0211111111111112,0.0188888888888889,0.00111111111111105,-0.0755555555555555
"CH",0.264155121210297,0.246026990437973,0.24003785575965,0.24978003259208,0.0777777777777778,-0.0399999999999999,0.00555555555555556,0.0033333333333333
"CH",0.273645100425489,0.245564930636838,0.230943971974598,0.249845996963075,0.0777777777777778,-0.0444444444444444,0.0155555555555556,-0.05
"CH",0.272463353172652,0.223680608174416,0.237417745875485,0.266438292777447,-0.0122222222222223,0.00111111111111121,0.0355555555555554,-0.0455555555555555
"CH",0.256997614503817,0.221592557251908,0.244056297709924,0.277353530534351,0.0133333333333334,-0.0033333333333333,0.0133333333333332,0.0366666666666668
"CH",0.262582092803897,0.18599551230792,0.2385119308687,0.312910464019484,-0.0100000000000001,-0.0366666666666666,0.0122222222222222,0.0155555555555556
"CH",0.234592379371864,0.258449244147426,0.214711782980065,0.292246593500644,-0.0511111111111112,-0.0777777777777778,0.0855555555555556,-0.051111111111111
"CH",0.21606125333144,0.271510331856995,0.244741934813113,0.267686479998451,0.021111111111111,-0.00444444444444435,-0.00222222222222225,-0.0388888888888889
"CH",0.275109245390078,0.277292515636604,0.237991194866592,0.209607044106726,-0.0311111111111111,0.0399999999999999,0.0377777777777778,0.0166666666666667
"CH",0.222698176833756,0.252676491879484,0.254818086881948,0.269807244404812,0.0766666666666666,-0.0855555555555554,-0.0511111111111112,0.0688888888888889
"CH",0.237875178677133,0.242494261330003,0.244803586143705,0.274826973849159,0.0122222222222222,-0.0377777777777777,0.0566666666666666,-0.0177777777777777
"CH",0.253363333329129,0.269058258259773,0.244394444451451,0.233183963959646,0.0522222222222223,-0.0666666666666667,-0.0922222222222223,0.0188888888888889
"CH",0.259080015272395,0.230024329596802,0.261501171080331,0.249394484050472,0.0977777777777777,0.00111111111111121,-0.0533333333333333,-0.0333333333333333
